#{"t_start": 1777903206.291314, "env_id": "None"}
r,l,t
1815.502235,141,340.862852
3192.767085,231,341.797032
1773.065692,128,342.196678
2749.035712,198,342.81151
-378.966202,40,342.927653
-556.429516,46,343.051967
1713.306057,177,343.593894
2447.276237,186,344.123306
2663.492304,160,344.607041
-673.053923,45,344.729417
2819.085838,190,347.168632
3404.145858,178,347.695098
-979.917154,30,348.836373
2759.291358,174,349.330594
2746.435816,182,349.880327
-809.424786,30,349.980998
-950.879015,24,350.055447
1248.371842,59,350.234249
-914.829308,28,350.310876
2074.187053,160,350.790749
-1286.204698,63,350.960378
-939.273919,52,351.124762
-199.258356,55,351.294942
-820.458228,38,351.403773
3726.645193,168,352.106404
3252.044049,193,352.908999
1475.860434,131,353.459947
3019.498991,193,354.348845
-773.692844,30,354.491781
-645.225801,56,354.73345
-747.663973,26,354.851313
397.140291,106,357.305091
3183.4338,231,359.01926
3566.242492,192,359.603415
-1144.740749,56,359.76897
-757.148894,30,359.85371
2780.768281,174,360.425825
-1048.384439,31,360.527009
2639.373391,147,360.95978
2903.989855,169,361.476254
3728.578119,195,362.0296
-817.027871,36,362.131576
-771.248771,38,362.236218
115.622679,82,362.506631
-972.405014,40,362.62885
-494.042303,52,362.770638
-1054.516695,39,362.90769
1224.496658,107,363.228046
2249.008766,133,363.641822
-647.969965,36,363.761209
673.433276,162,364.223522
1583.557379,140,367.102401
-536.446575,34,367.239909
-752.581385,32,367.367955
1751.994412,103,369.367445
-810.050724,42,369.492073
2622.092183,150,369.946911
-823.151103,26,370.043079
-1034.409927,17,370.098029
1003.845203,168,370.583241
575.362972,109,370.905275
-404.169214,92,371.1887-3074.000629,1166,373.843178
813.27503,113,374.201545
1146.336942,129,374.581991
-835.53785,22,374.649706
3766.721549,215,378.499146
-799.887009,48,378.634634
2732.897509,169,379.312332
826.931904,186,380.084604
2925.419291,211,380.964511
-593.462708,54,381.202507
-1067.439074,26,381.324114
3659.647945,268,382.440063
-1124.730807,40,382.570018
2102.590168,166,383.055219
-2632.781626,114,383.418618
3635.724435,224,384.112753
-1051.85008,27,384.196167
3231.036249,171,384.723429
1683.330745,139,387.122142
-821.733462,82,387.348867
3248.975515,224,388.698606
-189.939102,109,389.065402
1223.079836,124,389.421274
-1275.893944,49,389.573064
2740.66569,158,390.060825
-372.173833,74,390.267463
-730.782643,46,390.4179133822.141846,258,390.992927
1960.775092,146,391.413591
-1399.707595,55,391.581614
-2830.407138,179,392.103221
-1081.747498,37,392.229589
11989.498776,152,392.847489
-1955.168413,147,393.468856171505.92104,148,394.068197
31762.997426,123,394.56126
824.837052,197,398.751778
-2390.861511,153,399.195041
2978.032258,241,399.919218
-719.669639,38,400.02421
942.250968,133,400.421253
957.457664,114,400.77251
-928.718455,40,400.88626
-1206.371577,77,401.112211
-2481.090776,231,401.832714
2817.588789,172,402.325656
-1018.180258,39,402.44852
-942.145203,79,402.687551
659.11054,139,403.111399
-1750.66806,59,403.280582
-465.251802,43,403.417791
3135.302154,195,404.032443
3082.227799,160,408.058418
3104.680413,180,408.886792
-170.652646,50,409.131931
2294.450966,159,409.672722
-866.783103,59,409.84686
-88.693703,87,410.121327
-1204.150833,40,410.238966
-527.360225,61,410.418687
2684.283922,196,410.984086
468.225499,140,411.419662
2348.686212,166,411.886871
1741.982908,135,412.288627
-442.12174,48,412.439802
-862.020107,29,412.526948
1347.632701,141,412.925802
2945.393815,168,413.452139
3240.709434,206,414.055909
-803.828178,39,414.190168
2309.144942,128,418.734528
3433.888904,181,419.255426
1448.922387,124,419.828653
-883.812217,33,419.971813
1397.046838,118,420.508522
-586.105939,114,421.000369
-837.193686,34,421.175362
-264.899584,48,421.364929
-144.740807,95,421.781728
621.910293,131,422.372108
-7702934.542782,159,422.781552
-3742.875264,175,423.346064
-451.208341,38,423.459433
-721.883424,31,423.542423.969386,164,423.924779
75.627598,123,424.292705
121.8701430.648022,170,4242145.0667-370.211129,124,4242275.357034,166,425.400228
2584.797148,173,427.090195
896.54638,71,429.187692
723.41361,65,429.384928
-1329.263051,44,429.51895
1900.520748,144,429.9864
-581.716069,43,430.127725
342.385356,218,430.753756
3044.234862,174,431.296942
3725.988004,286,432.131689
2839.848937,207,432.71206
3542.57969,178,433.460718
3261.185769,196,434.293512
2051.889958,181,435.022391
-1310.332325,107,435.507782
-713.680462,27,435.636444
2908.354943,191,439.670684
2211.712942,130,440.061698
-1180.459936,64,440.250157
2905.314029,197,440.824861
991.85504,138,441.228668
-918.161547,63,441.41688
3665.502094,202,442.027404
1466.677133,131,442.390782
34.871367,69,442.578737
1068.603073,124,442.961783
2301.514414,148,443.401697
1132.151623,129,443.789195
563.104544,137,444.201709
1802.58519,116,444.534587
3478.837552,228,446.286801
2679.509626,141,449.645693
2320.918986,204,450.281862
-854.065066,93,450.546843
-1154.373482,50,450.68887
2329.324762,161,451.177299
1290.196244,73,451.395006
1603.595331,122,451.750699
3048.955383,201,452.341465
-460.589003,48,452.47299
-1086.448031,22,452.558262
502.38435,178,453.081427
3242.17159,196,453.655626
-792.813748,90,453.921827
3003.85607,219,454.585888
3379.723011,207,456.325287
-406.727567,56,456.511721
-952.722888,30,456.597732
2691.630278,170,459.063564
2031.094121,152,459.502968
3179.974757,194,460.294243
3233.037016,187,461.114507
2448.552301,184,461.873265
-906.968395,30,462.022321
717.663805,66,462.347967
-614.533755,36,462.491478
2666.029166,163,463.193784
1673.020124,140,463.594809
2422.603208,165,464.134011
3726.78159,172,464.625286
-863.214187,29,464.711161
-1759.148574,97,464.996758
1807.298618,172,466.828746
3328.808616,160,467.319949
1891.626318,140,469.80514
1511.980319,128,470.18758
2652.851942,166,470.681033
304.514575,130,471.052404
1789.334057,129,471.439023
1812.750259,97,471.73003
194.117768,101,472.020128
-913.801932,113,472.353535
-810.285927,32,472.455277
986.209553,156,472.90602
-475.084165,55,473.072824
3146.563822,175,473.869162
2426.269299,164,474.577332
2369.751269,137,475.165674
-929.676104,40,477.175284
